Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
Cameroon,0.08132,0.08165,0.07808,0.08387,0.08674,0.08577,0.09881,0.09902,0.10565,0.10857,0.12487,NA,22493301699,20624
Cape Verde,0.00318,0.00214,0.00228,0.00227,0.00433,0.00373,0.0042,0.00493,0.00507,0.00552,0.00552,0.00563,1664310632,488
Central African Republic,0.00539,0.00549,0.00565,0.00567,0.00577,0.00565,0.00592,0.00633,0.00647,0.00609,0.00609,NA,1986014759,4350
Chad,0.00278,0.00284,0.00293,0.00293,0.00272,0.00302,0.00325,0.00379,0.00362,0.00364,0.00364,0.00373,10657705072,11721
Comoros,0.00136,0.00141,0.00146,0.00147,0.00151,0.00161,0.00163,0.00204,0.00214,0.00214,0.00186,NA,543376206,683
Congo (Brazzaville),0.01302,0.016,0.0154,0.01722,0.01848,0.02482,0.02843,0.03386,0.03906,0.04784,0.06727,NA,4112
Congo (Kinshasa),0.09171,0.08267,0.07982,0.08113,0.09578,0.09882,0.1004,0.10656,0.10331,0.10511,0.11299,NA,4112
Cote dIvoire (IvoryCoast),0.13277,0.10998,0.10706,0.10877,0.11505,0.11335,0.114,0.11957,0.13429,0.12995,0.12381,NA
Djibouti,0.02465,0.02502,0.02506,0.02559,0.0259,0.02565,0.02374,0.02319,0.01642,0.01667,0.01667,0.01859,,834
Egypt,2.0052,2.22517,2.25765,2.43298,2.58248,2.68931,2.53821,2.70984,3.1936,3.20306,3.30724,NA,218887812549,78076
Equatorial Guinea,0.00433,0.00354,0.04942,0.05064,0.0059,0.05036,0.05045,0.0588,0.05765,0.06384,0.06934,NA,12261420852,696
Eritrea,0.00888,0.01052,0.00977,0.01103,0.01037,0.01036,0.01035,0.00973,0.01108,0.00714,0.00701,0.00647,2117039510,5741
Ethiopia,0.06451,0.06956,0.0745,0.08134,0.08518,0.09097,0.10302,0.11177,0.13166,0.13029,0.13678,NA,26311310604,87095
Gabon,0.03684,0.0382,0.03796,0.03898,0.0393,0.03826,0.04223,0.04342,0.05311,0.04194,0.04543,NA,14507032805,1556
"Gambia, The",0.00365,0.00392,0.00401,0.00406,0.00408,0.00423,0.00453,0.00559,0.00583,0.00623,0.00677,0.00599,951805801,1681
Ghana,0.14286,0.1419,0.13071,0.12545,0.14495,0.14937,0.15015,0.13327,0.14904,0.17244,0.19467,NA,32174210792,24263
Guinea,0.02176,0.02345,0.02392,0.02207,0.02363,0.02358,0.02306,0.02344,0.02427,0.02445,0.02447,NA,4735956475,10876
Guinea-Bissau,0.00485,0.0049,0.00508,0.00521,0.00518,0.00538,0.00533,0.00551,0.00547,0.00557,0.00557,0.00565,835390892,1587
Kenya,0.14224,0.14413,0.14934,0.16118,0.16875,0.18298,0.20102,0.2022,0.18836,0.19759,0.21986,NA,32198151217,40909
Lesotho,0.00588,0.00598,0.00615,0.00635,0.00595,0.00662,0.00531,0.00566,0.00587,0.00552,0.00993,NA,2203835214,2009
Liberia,0.00616,0.00652,0.00705,0.00727,0.00735,0.00745,0.00858,0.00942,0.00844,0.00775,0.00753,0.00826,1292696475,3958
Libya,0.62988,0.66709,0.69699,0.68428,0.75794,0.77201,0.73147,0.75824,0.73771,0.77865,0.83996,NA,,6041
Madagascar,0.03093,0.03335,0.03755,0.03941,0.04278,0.04156,0.04108,0.04182,0.04563,0.03285,0.03292,NA,8837041787,21080
Malawi,0.02275,0.02291,0.02391,0.0244,0.02697,0.02836,0.02907,0.02984,0.03121,0.02984,0.03061,NA,5398616984,15014
Mali,0.01023,0.01029,0.01102,0.0111,0.01144,0.0125,0.01163,0.01188,0.01243,0.01239,0.01256,NA,9422267259,13986
Mauritania,0.04976,0.04976,0.04748,0.04879,0.04151,0.04908,0.04206,0.03878,0.0438,0.02784,0.0279,NA,3671380305,3609
Mauritius,0.05334,0.05851,0.05433,0.0567,0.05767,0.06037,0.06368,0.06784,0.06984,0.06384,0.0668,0.06827,9718331362,1231
Morocco,0.44701,0.4813,0.48821,0.49124,0.4923,0.49773,0.51652,0.52846,0.59814,0.64331,0.67296,NA,90770671431,31642
Mozambique,0.10073,0.13093,0.13324,0.13221,0.14246,0.15798,0.17698,0.18214,0.16984,0.18321,0.18078,NA,9274448731,23967
Namibia,0.0415,0.04742,0.0503,0.05393,0.0569,0.05861,0.0626,0.06488,0.0726,0.06967,0.06538,NA,11065912279,2179
Niger,0.01511,0.0155,0.01645,0.01691,0.0182,0.01724,0.0169,0.01752,0.01325,0.01809,0.01834,NA,5718589550,15894
Nigeria,0.80941,0.91104,0.93475,0.97853,0.98351,1.08137,1.02946,0.98637,1.0381,0.67651,0.72951,NA,229507890739,159708
