Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010
Belgium,266.35848,262.59885,259.83409,269.31808,271.33485,268.09939,263.76141,263.29902,280.16831,254.86866,263.64173,232672747374,232485906040,252795031055,311689616252,361683211959,377350395463,399965627160,459618853659,507379060314,473254584680,468078947368
Bosnia and Herzegovina,58.75126,57.84884,60.52394,59.1664,65.35689,69.99739,71.50227,66.79772,74.80893,77.79618,83.67808,5505984455,5748990554,6651226179,8370020196,10022840634,10948051122,12400102623,15280615815,18543289394,17082889409,16775469777
Bulgaria,110.98433,116.82782,114.15076,116.82857,116.37751,123.30802,127.35703,114.88314,112.50933,100.08554,107.63813,12903546765,13868600709,15979194511,20668176833,25283228366,28895083539,33209188738,42113656147,51824892678,48568714011,47727325908
Croatia,85.15439,86.52834,83.41339,87.40116,90.74306,89.85963,92.33823,87.86482,90.50966,86.56899,88.16058,21517784659,23052044812,26524896398,34143409062,41003558915,44821408830,49855078905,59335976948,69595272329,62244202546,58873839434
Cyprus,112.12899,120.62325,116.86021,115.65805,119.14398,118.56589,122.44637,120.67296,123.29787,114.83358,110.15063,9314937556,9679304970,10557366161,13319544758,15816972050,16997801392,18435765910,21841815680,25321517504,23542650736,23132450331
Czech Republic,136.92199,141.49177,141.51192,148.03898,147.89001,151.95253,155.17168,160.93198,158.04262,149.8869,155.97227,58807244367,64375288106,78425201660,95292530752,113976672924,130052420701,148345088495,180511237062,225448799062,197218205666,198475392670
Denmark,164.20263,166.0183,159.5632,166.72241,159.95786,155.76645,165.45446,161.92493,153.51129,144.41377,150.57908,160082517845,160476161868,173880831443,212621855882,244727978020,257675536234,274376889678,311417601998,343881383958,310544743670,313365836298
Faroe Islands,223.24158,219.42285,221.518,218.94008,221.10077,224.87485,242.61686,233.01457,233.95933,231.8956,222.09382,,,,,,,,,,,
Finland,235.38533,237.11189,239.42381,253.08829,259.39185,242.25265,253.40269,257.86789,246.87994,229.86462,247.97123,121793808734,124642505592,135183512140,164256207674,189064585622,195777993334,207949409201,246127357186,271974219064,239382754295,235163157894
Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Former Serbia and Montenegro,65.62876,70.23582,77.77177,78.10125,79.63724,77.21983,--,--,--,--,--,,,,,,,,,,,
Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
France,178.88729,180.05128,177.53408,178.46961,181.92082,180.07974,179.34387,176.89608,175.85928,166.20847,169.77827,1326334899576,1338302818791,1452030303030,1792214221218,2055678853687,2136555489230,2255705477450,2582389733356,2831794045482,2619685000757,2548315434210
Germany,175.33987,179.29997,175.22957,178.20259,179.65483,174.94113,178.29177,172.9931,175.41902,165.25688,170.69997,1886401326699,1880894854586,2006587615283,2423814898419,2726341472500,2766253792966,2902748698160,3323807412152,3623686234298,3298219195018,3282894736842
"Germany, East",--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
"Germany, West",--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,
Gibraltar,"3,429.9189","1,829.54677","1,849.71318","1,889.09822","1,932.43614","1,982.78727","2,023.73657","2,080.49935","2,126.25754","2,175.56966","2,205.17259",,,,,,,,,,,
Greece,126.71533,128.09076,128.22544,135.28063,134.04155,135.26184,138.98717,140.97849,137.18097,130.63546,124.81914,124418164455,129841697351,146050256230,192850219244,227950420085,240075690332,261713232775,305431771154,341593975533,321016154721,292304602598
